Code_Insee,NomCommune,EPCI,Dept,Pop,offres,Densite
01001,L'Abergement-Clémenciat,,Ain,794,,
01002,L'Abergement-de-Varey,CC de la Dombes,Ain,249,,
01004,Ambérieu-en-Bugey,CC de la Plaine de l'Ain,Ain,14428,3,0.000207929
01005,Ambérieux-en-Dombes,CC de la Plaine de l'Ain,Ain,1723,,
01006,Ambléon,CC Dombes Saône Vallée,Ain,117,,
01007,Ambronay,CC Bugey Sud,Ain,2841,,
01008,Ambutrix,CC de la Plaine de l'Ain,Ain,767,,
01009,Andert-et-Condon,CC de la Plaine de l'Ain,Ain,339,,
01010,Anglefort,CC Bugey Sud,Ain,1132,,
01011,Apremont,CC Usses et Rhône,Ain,387,,
01012,Aranc,CA Haut - Bugey Agglomération,Ain,330,,
01013,Arandas,CA Haut - Bugey Agglomération,Ain,148,,
01014,Arbent,CC de la Plaine de l'Ain,Ain,3459,,
01015,Arboys en Bugey,CA Haut - Bugey Agglomération,Ain,661,,
01016,Arbigny,CC Bugey Sud,Ain,468,,
01017,Argis,CC Bresse et Saône,Ain,458,,
01019,Armix,CC de la Plaine de l'Ain,Ain,29,,
01021,Ars-sur-Formans,CC Bugey Sud,Ain,1438,,
01022,Artemare,CC Dombes Saône Vallée,Ain,1255,,
01023,Asnières-sur-Saône,CC Bugey Sud,Ain,66,,
01024,Attignat,CC Bresse et Saône,Ain,3275,,
01025,Bâgé-Dommartin,CA du Bassin de Bourg-en-Bresse,Ain,4200,,
01026,Bâgé-le-Châtel,CC Bresse et Saône,Ain,983,,
01027,Balan,CC Bresse et Saône,Ain,2741,,
01028,Baneins,CC de la Côtière à Montluel,Ain,611,,
01029,Beaupont,CC de la Dombes,Ain,697,,
01030,Beauregard,CA du Bassin de Bourg-en-Bresse,Ain,880,,
01031,Bellignat,CC Dombes Saône Vallée,Ain,3859,1,0.000259134
01032,Béligneux,CA Haut - Bugey Agglomération,Ain,3362,,
01033,Valserhône,CC de la Côtière à Montluel,Ain,16804,,
01034,Belley,CC du Pays Bellegardien (CCPB),Ain,9499,1,0.000105274
01035,Belleydoux,CC Bugey Sud,Ain,322,,
01036,Valromey-sur-Séran,CA Haut - Bugey Agglomération,Ain,1329,,
01037,Bénonces,CC Bugey Sud,Ain,302,,
01038,Bény,CC de la Plaine de l'Ain,Ain,777,,
01039,Béon,CA du Bassin de Bourg-en-Bresse,Ain,462,,
01040,Béréziat,CC Bugey Sud,Ain,501,,
01041,Bettant,CA du Bassin de Bourg-en-Bresse,Ain,769,,
01042,Bey,CC de la Plaine de l'Ain,Ain,293,,
01043,Beynost,CC de la Veyle,Ain,"4,721",,
01044,Billiat,CC de Miribel et du Plateau,Ain,637,,
01045,Birieux,CC du Pays Bellegardien (CCPB),Ain,287,,
01046,Biziat,CC de la Dombes,Ain,885,,
